"text","category"
"remind me about my alarms today","alarm_query"
"list my different alarm","alarm_query"
"what alarms are set","alarm_query"
"list alarms","alarm_query"
"what's the alarm situation for tomorrow","alarm_query"
"let me know about any alarms set today","alarm_query"
"at what time have you set alarm for me","alarm_query"
"if there any alarm is set then let me know","alarm_query"
"show me the alarms i set","alarm_query"
"show me the alarms that are set","alarm_query"
"change my alarm","alarm_remove"
"one pm removed","alarm_remove"
"snooze all today's alarms permanently","alarm_remove"
"remove all alarms","alarm_remove"
"reset alarm","alarm_remove"
"remove the alarm set for ten pm","alarm_remove"
"remove finlee's bedtime alarm","alarm_remove"
"two am removed","alarm_remove"
"do not wake me up tomorrow","alarm_remove"
"remove all alarm of sunday","alarm_remove"
"set alarm for tomorrow morning at six am","alarm_set"
"is my alarm set for seven am","alarm_set"
"set an alarm for two hours from now","alarm_set"
"open clock","alarm_set"
"please set alarm for all days","alarm_set"
"set alarm for nine am","alarm_set"
"set an alarm at six in the morning","alarm_set"
"add a five am alarm in place of my nine pm alarm","alarm_set"
"create an alarm for six am","alarm_set"
"please set an alarm for tomorrows meeting at seven am","alarm_set"
"turn the volume down","audio_volume_down"
"lower the volume","audio_volume_down"
"lower your volume please","audio_volume_down"
"turn down media volume","audio_volume_down"
"lower volume to half","audio_volume_down"
"lower all volume on speakers please","audio_volume_down"
"please reduce the sound","audio_volume_down"
"quieter","audio_volume_down"
"please decrease the volume of music player","audio_volume_down"
"decrease volume to very soft","audio_volume_down"
"touch the mute button","audio_volume_mute"
"mute yourself when i am in a meeting","audio_volume_mute"
"be quiet","audio_volume_mute"
"mute yourself until five pm","audio_volume_mute"
"goodnight","audio_volume_mute"
"please mute the television for one hour","audio_volume_mute"
"silence please","audio_volume_mute"
"Please pause the song","audio_volume_mute"
"no speaking please","audio_volume_mute"
"please do not talk for thirty minutes","audio_volume_mute"
"turn the volume up","audio_volume_up"
"turn up the volume","audio_volume_up"
"unmute the speaker now","audio_volume_up"
"volume louder please","audio_volume_up"
"i am unable to hear you can you speak little loud","audio_volume_up"
"can you turn up your volume","audio_volume_up"
"hey sound is low can you tune it up","audio_volume_up"
"change my music player volume to eighty percent","audio_volume_up"
"could you speak louder","audio_volume_up"
"please speak up","audio_volume_up"
"do i have any thing going on at five","calendar_query"
"where is tuesday's morning meeting","calendar_query"
"when is the next office meeting","calendar_query"
"what's my next appointment","calendar_query"
"is there any event today in my calendar","calendar_query"
"My weekly plan","calendar_query"
"any upcoming events","calendar_query"
"let me know about upcoming events","calendar_query"
"am i free on sunday day","calendar_query"
"do i have anything planned for the twenty first","calendar_query"
"please empty my calendar","calendar_remove"
"delete all recurring staff meetings","calendar_remove"
"remove all events from my calendar","calendar_remove"
"erase my appointment for march seven","calendar_remove"
"please delete this event","calendar_remove"
"remove father's day from calendar","calendar_remove"
"remove events from calendar","calendar_remove"
"rm rf calendar","calendar_remove"
"can you delete the dentist appointment","calendar_remove"
"remove today's meeting at evening","calendar_remove"
"schedule dinner with sara and jamie","calendar_set"
"add lunch appointment with lisa to january second at twelve thirty pm","calendar_set"
"can you remind my next meeting with my boss one hour before it will happen","calendar_set"
"set a reminder for twelve thirty meeting with the boss","calendar_set"
"every wednesday night at five pm remind me to meet phil","calendar_set"
"remind me everyday at two pm for lunch","calendar_set"
"can you sync my calendar with mark","calendar_set"
"set rotating event","calendar_set"
"thursday at three pm there is a teachers meeting i need to be reminded of","calendar_set"
"create a repeating event on mondays at seven pm","calendar_set"
"what is the cooking time for mashed potatoes","cooking_recipe"
"i need a recipe that is from ingredients on my shopping list","cooking_recipe"
"how to make fried rice","cooking_recipe"
"show me tutorials on cooking food","cooking_recipe"
"find me a recipe for carrot soup","cooking_recipe"
"how do i make cookies","cooking_recipe"
"how much meat should i buy to serve ten people","cooking_recipe"
"what is a cookie recipe","cooking_recipe"
"give me some recipes for sheperds pie","cooking_recipe"
"what is the recipe for apple pie","cooking_recipe"
"switch to los angeles time","datetime_convert"
"when it is nine in the east what time is it in the west","datetime_convert"
"it is five forty five am in liverpool what time is now new york","datetime_convert"
"how many hours difference is there between london and new york","datetime_convert"
"given it is four thirty five pm in london what time is it in melbourne","datetime_convert"
"can you convert my time zone to the time zone i'm currently in","datetime_convert"
"what is time now in japan compared to usa","datetime_convert"
"what is the time difference between eastern time and pacific time","datetime_convert"
"eight am manila time is what in eastern time","datetime_convert"
"switch to eastern time zone","datetime_convert"
"today is monday is it","datetime_query"
"what day is christmas","datetime_query"
"what time is it on the east coast of the united states","datetime_query"
"what is the time in beijing","datetime_query"
"uh what does the current date happen to be","datetime_query"
"what is the time in hyderabad","datetime_query"
"what is the current time in california","datetime_query"
"what time is it in the eastern half of the us right now","datetime_query"
"give me time","datetime_query"
"show me boston's current time","datetime_query"
"i want to and my email address","email_addcontact"
"add email to contacts","email_addcontact"
"will you please put something something@gmail dot com in my contacts","email_addcontact"
"make this email a new contact","email_addcontact"
"add the email oriam@gmail dot com to my contacts","email_addcontact"
"save this email in my contact for future use","email_addcontact"
"i need you to add gary's email to my favorites","email_addcontact"
"add john@gmail dot com to contacts","email_addcontact"
"here's an email address","email_addcontact"
"add carl's email to my contact","email_addcontact"
"update me on my emails","email_query"
"please check if there is a new email on the inbox","email_query"
"did i receive any email in the past hour","email_query"
"please check whether the email of jancy has come","email_query"
"list all emails with subject contract","email_query"
"display recent email from john","email_query"
"check email client","email_query"
"let me know of any incoming emails for the last hour please","email_query"
"has amy sent me any new emails","email_query"
"what and who was i emailed about last week","email_query"
"look up in contacts","email_querycontact"
"what's his number","email_querycontact"
"select the information on the contact","email_querycontact"
"is there a way to pull up information about a contact","email_querycontact"
"check and tell me the address of my friend alex","email_querycontact"
"what is mary s.'s birthday","email_querycontact"
"do i have a number for jerry","email_querycontact"
"do i have the address for the apple store in my contacts","email_querycontact"
"fetch me the phone number of Alexander","email_querycontact"
"what is charles's email","email_querycontact"
"send an email for me","email_sendemail"
"answer email","email_sendemail"
"send a mail to alex asking about the due payment","email_sendemail"
"compose an email to parisa","email_sendemail"
"start and email to john smith","email_sendemail"
"send email to bro and say hi come down for dinner tonight","email_sendemail"
"send a reply to mike with the answer four hundred and thirty from his email he sent this morning","email_sendemail"
"tell chris i will be late through email","email_sendemail"
"i need to add a new email to my contacts","email_sendemail"
"send an email to bob","email_sendemail"
"yeah that was fantastic.","general_affirm"
"yeah get that correcly.","general_affirm"
"yeap perfect response to the command.","general_affirm"
"yeah answer was correct.","general_affirm"
"yes perfectly.","general_affirm"
"yeah you did it exactly.","general_affirm"
"correcly.","general_affirm"
"yeap that's right.","general_affirm"
"yeap.","general_affirm"
"yeap excellent response to the command.","general_affirm"
"will you just stop please.","general_commandstop"
"olly i would like you stop.","general_commandstop"
"olly please could you just cancel.","general_commandstop"
"olly could you please shut up.","general_commandstop"
"i would talk to you later on.","general_commandstop"
"olly that will be all.","general_commandstop"
"will you shut down please.","general_commandstop"
"olly would you please shut up.","general_commandstop"
"i want you just stop it.","general_commandstop"
"please can you shut off.","general_commandstop"
"did you get the last thing said correctly?","general_confirm"
"would you check and confirm detail please.","general_confirm"
"please confirm details.","general_confirm"
"did you get what i just said correctly?","general_confirm"
"check last thing i said.","general_confirm"
"would you please check question.","general_confirm"
"i'd like you to confirm that please.","general_confirm"
"check and confirm the details please.","general_confirm"
"would you confirm last thing i said please.","general_confirm"
"i would like you to check and confirm detail please.","general_confirm"
"i have no idea for which to select.","general_dontcare"
"doesn't matter.","general_dontcare"
"that does not matter.","general_dontcare"
"do not really bother.","general_dontcare"
"i have no idea for what to do, olly.","general_dontcare"
"anything would be okay with me.","general_dontcare"
"i do not care.","general_dontcare"
"this doesn't really matter to me.","general_dontcare"
"i wouldn't really care.","general_dontcare"
"do not mind to select any one.","general_dontcare"
"s1, again explain to me please.","general_explain"
"s1, could you please clarify me about what you've just said once again.","general_explain"
"i don't quite catch that.","general_explain"
"please explain me about your words once again.","general_explain"
"i didn't catch that.","general_explain"
"what did you mean by saying it.","general_explain"
"s2, i didn't catch up with you.","general_explain"
"i am not clear about last sentence.","general_explain"
"i am not so clear about that.","general_explain"
"please rephrase me more on what you said now.","general_explain"
"tell me a joke please","general_joke"
"tell a joke","general_joke"
"are you aware this joke","general_joke"
"tell me something funny","general_joke"
"i need a funny joke to tell sam","general_joke"
"say a funny","general_joke"
"i need a naughty joke not to naughty though","general_joke"
"what is the highest rated joke today","general_joke"
"what is the funniest joke ever","general_joke"
"what is a funny joke","general_joke"
"i think you didn't understand me.","general_negate"
"uh no, i think not correct response.","general_negate"
"sorry but it is incorrect.","general_negate"
"dammit, that's not what i said.","general_negate"
"uhh no, i did not say this.","general_negate"
"you didn't get it correctly.","general_negate"
"it's not the correct command.","general_negate"
"goddammit.","general_negate"
"it must be mistake.","general_negate"
"i think you did the task incorrectly.","general_negate"
"that's useful, appreciated, olly.","general_praise"
"that's good one, thank you very much.","general_praise"
"that's amazing job, musch appreciated.","general_praise"
"that's cool,, olly.","general_praise"
"you helped a lot, i appreciate it, olly.","general_praise"
"it's helpful, thank you very much.","general_praise"
"nice job, you have done well, olly.","general_praise"
"wonderful job, you have done well.","general_praise"
"you are so helpful, thank you so much.","general_praise"
"excellent work, you've done well.","general_praise"
"i really enjoyed sunny day today","general_quirky"
"if you put a velociraptor and a hippo together what would happen","general_quirky"
"please explain space","general_quirky"
