text,category
remind me about my alarms today,alarm_query
what alarms are set,alarm_query
what's the alarm situation for tomorrow,alarm_query
at what time have you set alarm for me,alarm_query
show me the alarms i set,alarm_query
change my alarm,alarm_remove
snooze all today's alarms permanently,alarm_remove
reset alarm,alarm_remove
remove finlee's bedtime alarm,alarm_remove
do not wake me up tomorrow,alarm_remove
set alarm for tomorrow morning at six am,alarm_set
set an alarm for two hours from now,alarm_set
please set alarm for all days,alarm_set
set an alarm at six in the morning,alarm_set
create an alarm for six am,alarm_set
turn the volume down,audio_volume_down
lower your volume please,audio_volume_down
lower volume to half,audio_volume_down
please reduce the sound,audio_volume_down
please decrease the volume of music player,audio_volume_down
touch the mute button,audio_volume_mute
be quiet,audio_volume_mute
goodnight,audio_volume_mute
silence please,audio_volume_mute
no speaking please,audio_volume_mute
turn the volume up,audio_volume_up
unmute the speaker now,audio_volume_up
i am unable to hear you can you speak little loud,audio_volume_up
hey sound is low can you tune it up,audio_volume_up
could you speak louder,audio_volume_up
do i have any thing going on at five,calendar_query
when is the next office meeting,calendar_query
is there any event today in my calendar,calendar_query
any upcoming events,calendar_query
am i free on sunday day,calendar_query
please empty my calendar,calendar_remove
remove all events from my calendar,calendar_remove
please delete this event,calendar_remove
remove events from calendar,calendar_remove
can you delete the dentist appointment,calendar_remove
schedule dinner with sara and jamie,calendar_set
can you remind my next meeting with my boss one hour before it will happen,calendar_set
every wednesday night at five pm remind me to meet phil,calendar_set
can you sync my calendar with mark,calendar_set
thursday at three pm there is a teachers meeting i need to be reminded of,calendar_set
what is the cooking time for mashed potatoes,cooking_recipe
how to make fried rice,cooking_recipe
find me a recipe for carrot soup,cooking_recipe
how much meat should i buy to serve ten people,cooking_recipe
give me some recipes for sheperds pie,cooking_recipe
switch to los angeles time,datetime_convert
it is five forty five am in liverpool what time is now new york,datetime_convert
given it is four thirty five pm in london what time is it in melbourne,datetime_convert
what is time now in japan compared to usa,datetime_convert
eight am manila time is what in eastern time,datetime_convert
today is monday is it,datetime_query
what time is it on the east coast of the united states,datetime_query
uh what does the current date happen to be,datetime_query
what is the current time in california,datetime_query
give me time,datetime_query
i want to and my email address,email_addcontact
will you please put something something@gmail dot com in my contacts,email_addcontact
add the email oriam@gmail dot com to my contacts,email_addcontact
i need you to add gary's email to my favorites,email_addcontact
here's an email address,email_addcontact
update me on my emails,email_query
did i receive any email in the past hour,email_query
list all emails with subject contract,email_query
check email client,email_query
has amy sent me any new emails,email_query
look up in contacts,email_querycontact
select the information on the contact,email_querycontact
check and tell me the address of my friend alex,email_querycontact
do i have a number for jerry,email_querycontact
fetch me the phone number of Alexander,email_querycontact
send an email for me,email_sendemail
send a mail to alex asking about the due payment,email_sendemail
start and email to john smith,email_sendemail
send a reply to mike with the answer four hundred and thirty from his email he sent this morning,email_sendemail
i need to add a new email to my contacts,email_sendemail
yeah that was fantastic.,general_affirm
yeap perfect response to the command.,general_affirm
yes perfectly.,general_affirm
correcly.,general_affirm
yeap.,general_affirm
will you just stop please.,general_commandstop
olly please could you just cancel.,general_commandstop
i would talk to you later on.,general_commandstop
will you shut down please.,general_commandstop
i want you just stop it.,general_commandstop
did you get the last thing said correctly?,general_confirm
please confirm details.,general_confirm
check last thing i said.,general_confirm
i'd like you to confirm that please.,general_confirm
would you confirm last thing i said please.,general_confirm
i have no idea for which to select.,general_dontcare
that does not matter.,general_dontcare
"i have no idea for what to do, olly.",general_dontcare
i do not care.,general_dontcare
i wouldn't really care.,general_dontcare
"s1, again explain to me please.",general_explain
i don't quite catch that.,general_explain
i didn't catch that.,general_explain
"s2, i didn't catch up with you.",general_explain
i am not so clear about that.,general_explain
tell me a joke please,general_joke
are you aware this joke,general_joke
i need a funny joke to tell sam,general_joke
i need a naughty joke not to naughty though,general_joke
what is the funniest joke ever,general_joke
i think you didn't understand me.,general_negate
sorry but it is incorrect.,general_negate
"uhh no, i did not say this.",general_negate
it's not the correct command.,general_negate
it must be mistake.,general_negate
"that's useful, appreciated, olly.",general_praise
"that's amazing job, musch appreciated.",general_praise
"you helped a lot, i appreciate it, olly.",general_praise
"nice job, you have done well, olly.",general_praise
"you are so helpful, thank you so much.",general_praise
i really enjoyed sunny day today,general_quirky
please explain space,general_quirky
about reality in world,general_quirky
what is your prescription for long and healthy life,general_quirky
how does production and population affects us,general_quirky
please would you speak one more again.,general_repeat
can you say one more again.,general_repeat
can you speak it again please.,general_repeat
one more again please.,general_repeat
let us try your last things once more please.,general_repeat
start house cleaning,iot_cleaning
robot vacuum the hallway now,iot_cleaning
can you please put the vacuum on,iot_cleaning
switch on the roomba,iot_cleaning
switch on robot vacuum cleaner,iot_cleaning
can you start the coffee machine for me,iot_coffee
i'd like an espresso,iot_coffee
make my coffee,iot_coffee
start the coffee machine,iot_coffee
get the coffee started please,iot_coffee
light color change,iot_hue_lightchange
change background,iot_hue_lightchange
change the light to blue,iot_hue_lightchange
rotate the light colors,iot_hue_lightchange
pink is all we need,iot_hue_lightchange
lower the light level in my house,iot_hue_lightdim
reduce the brightness,iot_hue_lightdim
decrease brightness,iot_hue_lightdim
bring the lights down a bit,iot_hue_lightdim
dim the lights in the kitchen,iot_hue_lightdim
bed room two lights off,iot_hue_lightoff
turn room lights off now,iot_hue_lightoff
switch off the light on the left,iot_hue_lightoff
please set the lights off in the living room,iot_hue_lightoff
turn office lights off,iot_hue_lightoff
it's too dark i can't even see my hands,iot_hue_lighton
and the light began,iot_hue_lighton
turn on the lights that are outdoors,iot_hue_lighton
turn on the lamp,iot_hue_lighton
It's too dark in here,iot_hue_lighton
please increase the light,iot_hue_lightup
can you adjust the lighting for me to be brighter,iot_hue_lightup
increase brightness in the room,iot_hue_lightup
please turn the lights up,iot_hue_lightup
increase light,iot_hue_lightup
turn off my wemo socket,iot_wemo_off
mute your android phone when you arrive at work,iot_wemo_off
switch wemo plug socket off,iot_wemo_off
turn off the socket,iot_wemo_off
can you please turn off my wemo plug,iot_wemo_off
turn on switch of wemo socket,iot_wemo_on
i'd like you to turn turn on the tv,iot_wemo_on
turn on kitchen light,iot_wemo_on
turn on my wemo socket,iot_wemo_on
turn on the light socket,iot_wemo_on
i want to know could an extra item be added to my grocery list,lists_createoradd
please find all name start with alphabetic of g and create a list,lists_createoradd
is there room on my grocery list for an extra item,lists_createoradd
bring up a new shopping list,lists_createoradd
please add list of things to buy for party,lists_createoradd
open note pad,lists_query
whats on your list right now,lists_query
what's next on my list,lists_query
i finished my to do list,lists_query
tell me the name of my lists,lists_query
delete happy dance playlist,lists_remove
i want you to delete my shopping list from last month,lists_remove
remove cart list,lists_remove
delete last item listed,lists_remove
take milk off my grocery list,lists_remove
i like songs from,music_likeness
i like soft rock music,music_likeness
can you save this what a nice song for me,music_likeness
i am forever hip hop,music_likeness
save that song and my opinion,music_likeness
check the current playing music title,music_query
what music is it,music_query
show me the picture of the singer,music_query
what song do i listen to the most,music_query
is it possible for you to provide the likes of my music,music_query
please add this song to work out playlist,music_settings
turn shuffle on music player on,music_settings
olly shuffle playlist,music_settings
play only particular singer songs,music_settings
Please turn off shuffle setting,music_settings
what is the latest news on sprint,news_query
what went on in the world today,news_query
how is the news in ireland,news_query
tell me about the latest sports news,news_query
look up news articles about trump,news_query
play my bookmarked audiobook,play_audiobook
read some more of the daisy goodwin book for me,play_audiobook
continue audiobook playback,play_audiobook
start dune from where i left off,play_audiobook
please play recently paused audio,play_audiobook
play scrabble with me,play_game
open chess game,play_game
lets play battleship,play_game
play me a game of tic tac toe,play_game
start spider,play_game
please play for me elvis presley song again,play_music
i want to listen jazz,play_music
please play some jazz music,play_music
please play songs i've purchased and favorited,play_music
play jingle bells,play_music
play the next podcast episode,play_podcasts
can i see the previous episode,play_podcasts
play this podcast,play_podcasts
play current episode,play_podcasts
play a podcast about latest yoga videos,play_podcasts
put the news on bbc,play_radio
play miley cyrus radio,play_radio
i want to listen to the radio,play_radio
play a news radio station,play_radio
please find the radio station currently playing howard stern,play_radio
dollar rate at present,qa_currency
what's the dollar's exchange rate with the euro,qa_currency
how many pesos can i get for a dollar right now,qa_currency
what is the us dollar and euro exchange rate,qa_currency
what would be the exchange rate of currency in japan,qa_currency
what does obsessed mean,qa_definition
describe what a poltergeist is,qa_definition
what is a chair,qa_definition
what does apple of my eye mean,qa_definition
how does a cheetah look,qa_definition
where is the statue of liberty located,qa_factoid
what is elvis favorite ride,qa_factoid
actually what is the life style of sahara desert,qa_factoid
tell me about donald trump,qa_factoid
look up the number of people living in miami florida,qa_factoid
what's thirteen plus fourteen,qa_maths
sum of five and two,qa_maths
what do you get when you multiply sixteen by nine,qa_maths
how do you solve three two,qa_maths
tell me what one plus one is,qa_maths
today's closing price for google,qa_stock
please indicate the opening price of fra stock,qa_stock
stock market,qa_stock
is i. b. m. up today,qa_stock
show me share price of amazon,qa_stock
what is planned for today in my local area,recommendation_events
today's local events,recommendation_events
what's around tonight,recommendation_events
what's the next event at the library,recommendation_events
whats happening around my town,recommendation_events
what is a good place for cruise,recommendation_locations
where is the nearest italian restaurant,recommendation_locations
can you tell me a good place to eat,recommendation_locations
where is a good wine bar near me,recommendation_locations
where is the nearest pub in the city,recommendation_locations
is logan a good movie to watch,recommendation_movies
recommend a movie playing in me area,recommendation_movies
movies with good reviews,recommendation_movies
latest movie releases,recommendation_movies
recommend a movie with justin bieber,recommendation_movies
i would like to make a post on times twitter,social_post
